isic_code,isic_level,section,activity_title,aml_rating,risk_score,risk_theme,risk_drivers,cdd_edd,controls,rule_id,rule_basis,notes,source_url
012,Group,A,Growing of perennial crops,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0121,Class,A,Growing of grapes,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0122,Class,A,Growing of tropical and subtropical fruits,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0123,Class,A,Growing of citrus fruits,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0124,Class,A,Growing of pome fruits and stone fruits,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0125,Class,A,Growing of other tree and bush fruits and nuts,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0126,Class,A,Growing of oleaginous fruits,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0127,Class,A,Growing of beverage crops,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0128,Class,A,"Growing of spices, aromatic, drug and pharmaceutical crops",Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0129,Class,A,Growing of other perennial crops,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
013,Group,A,Plant propagation,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0130,Class,A,Plant propagation,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
014,Group,A,Animal production,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0141,Class,A,Raising of cattle and buffaloes,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0142,Class,A,Raising of horses and other equines,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0143,Class,A,Raising of camels and camelids,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0144,Class,A,Raising of sheep and goats,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0145,Class,A,Raising of swine and pigs,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0146,Class,A,Raising of poultry,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0149,Class,A,Raising of other animals,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
015,Group,A,Mixed farming,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0150,Class,A,Mixed farming,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
016,Group,A,Support activities to agriculture and post-harvest crop activities,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0161,Class,A,Support activities for crop production,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0162,Class,A,Support activities for animal production,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0163,Class,A,Post-harvest crop activities,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0164,Class,A,Seed processing for propagation,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
017,Group,A,"Hunting, trapping and related service activities",Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0170,Class,A,"Hunting, trapping and related service activities",Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
02,Division,A,Forestry and logging,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
021,Group,A,Silviculture and other forestry activities,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0210,Class,A,Silviculture and other forestry activities,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
022,Group,A,Logging,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0220,Class,A,Logging,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
023,Group,A,Gathering of non-wood forest products,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0230,Class,A,Gathering of non-wood forest products,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
024,Group,A,Support services to forestry,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0240,Class,A,Support services to forestry,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
03,Division,A,Fishing and aquaculture,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
031,Group,A,Fishing,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0311,Class,A,Marine fishing,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0312,Class,A,Freshwater fishing,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
032,Group,A,Aquaculture,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0321,Class,A,Marine aquaculture,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0322,Class,A,Freshwater aquaculture,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
033,Group,A,Support activities for fishing and aquaculture,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
0330,Class,A,Support activities for fishing and aquaculture,Medium,2,Agriculture / natural resources,"Commercial activity with ordinary customer, payment, or supply-chain exposure.",Standard CDD,"Verify license; capture expected volumes, counterparties, countries, and transaction channels.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
B,Section,B,Mining and quarrying,Medium,2,Mining / extractives,"Higher exposure to cash, trade, cross-border flows, commodities, or complex service delivery.",Standard CDD plus targeted enhanced checks,"Obtain additional rationale for activity, source of funds, counterparties, countries, and expected transactional behavior.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
05,Division,B,Mining of coal and lignite,Medium,2,Mining / extractives,"Higher exposure to cash, trade, cross-border flows, commodities, or complex service delivery.",Standard CDD plus targeted enhanced checks,"Obtain additional rationale for activity, source of funds, counterparties, countries, and expected transactional behavior.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
051,Group,B,Mining of hard coal,Medium,2,Mining / extractives,"Higher exposure to cash, trade, cross-border flows, commodities, or complex service delivery.",Standard CDD plus targeted enhanced checks,"Obtain additional rationale for activity, source of funds, counterparties, countries, and expected transactional behavior.",BASE,Base sector/section rating,"Inherent industry risk only. Final customer risk must be adjusted for customer type, ownership/control, geography, products, delivery channel, expected activity and actual transaction behavior.",https://unstats.un.org/unsd/classifications/Econ/Download/In%20Text/ISIC_Rev_5_english_structure.csv
