rakez_code,activity_name,description,licence_type,activity_group,isic_code,isic_title,isic_level,aml_rating,risk_score,risk_theme,cdd_edd,matched_rules,prohibited,zone,source,mapping_basis
743002,Advertisement Designing & Producing,"Includes firms which design commercials and produce the same on audio or video tapes, paintings and photographs for newspapers and magazines, or wall posters.",Service,Advertising,7430,Translation and interpretation activities,Class,Medium,2,Professional / technical services,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 743002 → ISIC 7430 (Class)
100001,Advertising & Communication Agency,Advertising & Communication Agency,Media,Advertising & Communication,10,Manufacture of food products,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 100001 → ISIC 10 (Division)
513908,Advertising Requisites Trading,"Includes reselling indoor and outdoor advertising requisites like boards, electric and non-electric signs as well as promotional gifts and similar items.",Commercial,Advertising,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 513908 → ISIC 51 (Division)
743001,Advertising Researches & Consultancies,"Includes providing advertising organizations advice and assistance on the creation of advertising campaigns and placement of such advertising in periodicals in order to encourage and persuade consumer behavior with respect to a commercial offering, also to employing different methodologies of research that works to improve the effectiveness and efficiency of advertising, such firms are not allowed to conduct field questionnaire before getting approval from the competent authority.",Service,"Consultancy -D- management, information and marketing",7430,Translation and interpretation activities,Class,Medium,2,Professional / technical services,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 743001 → ISIC 7430 (Class)
7430-06,Aerial Advertising Services,"Includes artworks, pictures, multiple word messages designed on banners flown by airplane in short trips at altitudes and routes permitted by the authorities in charge of air traffic. Airplanes must meet the safety requirements set by the concerned authorities. No firm can practice this activity prior to obtaining the required approvals from the general aviation Authorities and Civil Aviation Department.",Service,Advertising,7430,Translation and interpretation activities,Class,Medium,2,Professional / technical services,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 7430-06 → ISIC 7430 (Class)
242406,Agarwood & Incense Manufacturing,"Includes manufacturing agarwood, oriental perfumes and incense.",Industrial,Manufacturing of chemicals,242,Manufacture of basic precious and other non-ferrous metals,Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 242406 → ISIC 242 (Group)
513959,Agarwood & Incense Trading,"Includes reselling agarwood, oriental perfumes, various types of incense, as well as bottles, empty boxes, vaporizers...etc.",Commercial,Ready made garments qroup,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 513959 → ISIC 51 (Division)
5149-02,Agricultural & Veterinary Pesticides Trading,"Includes reselling materials intended for protection against and extermination and control of agricultural pests, including disease carriers affecting animals and plants. Pests are meant to be any plant or creature harmful or destructive, such as insects, spiders, nematodes, bacteria, fungal, moss, plant viruses, harmful weeds, parasitic plants, harmful birds, rodents, also, products plant growth controllers and crop protection.",Commercial,Agricultural,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 5149-02 → ISIC 51 (Division)
515902,Agricultural Equipment & Accessories Trading,"Includes reselling of agricultural equipment and machinery used in farms, orchards and gardens to cut grass and small trees and roots, pesticides sprayers as well as other attachments to enable for different uses.",Commercial,Agricultural,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 515902 → ISIC 51 (Division)
515903,Agricultural Equipment & Machinery Spare Parts Trading,"Includes reselling the spare parts of the agricultural machinery for soil preparation, planting or fertilizing, ploughing, manure spreading, seeding, grass cutting, sorters, milkers, pesticides sprayers, poultry and bee-keeping.",Commercial,Agricultural,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 515903 → ISIC 51 (Division)
2421-02,Agricultural Pesticides Manufacturing,"Includes manufacturing pesticides for preventing, controlling and exterminating agricultural pests, including disease carriers infecting plants or animals, by pests we mean all minute animals, plants, or living creatures that can be harmful or destructive, such as insects, spiders, nematode, bacteria, fungal, moss, plant viruses, harmful weeds, parasitic plants, harmful birds, rodents and others.",Industrial,Manufacturing of chemicals 5,242,Manufacture of basic precious and other non-ferrous metals,Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 2421-02 → ISIC 242 (Group)
741423,Agricultural Research & Consultancy,"Includes firms providing consultancy and research related to agricultural economic feasibility, land reclamation and irrigation, agricultural project development, animal poultry farming.",Service,Consultancy -A- Agriculture and Soil,741,Specialized design activities,Group,Medium,2,Professional / technical services,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 741423 → ISIC 741 (Group)
514207,Agricultural Tools Trading,"Includes reselling gardening and nurseling tools, including soil movers, trees cutters, planters, palm pollination, irrigation hoses, flower pots, fruit baskets, also, wax cells, beekeepers cloths, apiary accessories, as well as poultry and livestock farms tools.",Commercial,Agricultural,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 514207 → ISIC 51 (Division)
515901,Agricultural Tractors & Machinery Trading,"Includes reselling of agricultural tractors and machinery, ploughs, seeding devices, and harvesters, and other attachments to enable for different uses.",Commercial,Agricultural,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 515901 → ISIC 51 (Division)
292101,Agricultural Tractors Manufacturing,"Includes manufacturing tractors and related agricultural machinery for different operations such as ploughs, seeders, harvesters, planters, threshers, sorters, manure spreaders and soil preparation.",Industrial,Equipment and engines manufacturing,292,Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers,Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 292101 → ISIC 292 (Group)
6304-10,Air Cargo Agent,"Includes agents of international airlines who are engaged in air cargo operations. They are authorized to reserve spaces for imported, exported or re-exported goods.",Commercial,"Transport, shipping and storage",63,"Computing infrastructure, data processing, hosting, and other information service activities",Division,Medium,2,Telecom / IT / digital services,Standard CDD + monitoring,MH01,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 6304-10 → ISIC 63 (Division)
6301-05,Air Cargo Services,"Includes firms specialized air transport of exported goods, such firms are allowed to receive goods from different parties as well as handling all related services such as warehousing, crating, unloading and sorting out, they coordinate with freight forwarders and air-cargo agents to reserve aircraft spaces and also arranging insurance formalities.",Commercial,"Transport, shipping and storage",63,"Computing infrastructure, data processing, hosting, and other information service activities",Division,Medium,2,Telecom / IT / digital services,Standard CDD + monitoring,MH01,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 6301-05 → ISIC 63 (Division)
6220-03,Air Freight & Passengers Charters,Includes firms involved in chartering airplanes under charter contracts for air flights in non-scheduled passengers and freight transport flights.,Commercial,"Transport, shipping and storage",6220,Computer consultancy and computer facilities management activities,Class,Medium,2,Telecom / IT / digital services,Standard CDD + monitoring,MH01,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 6220-03 → ISIC 6220 (Class)
6210-03,"Air Transport of Radioactive, Chemical & Biological Materials","Includes shipping firms engaged in the air transport of the hazardous chemicals, radioactive and biological materials which require sophisticated handling for safety as well as the compliance of shippers to local and international codes for handling such materials.",Commercial,"Transport, shipping and storage",621,Computer programming activities,Group,Medium,2,Telecom / IT / digital services,Standard CDD + monitoring,MH01,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 6210-03 → ISIC 621 (Group)
515916,Air-Condition Trading,"Includes reselling central and window air-conditions equipment as well as the split units, whether or not linked with general central air-conditioning system.",Commercial,Mechanical & engineering equipment trading,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 515916 → ISIC 51 (Division)
291917,Air-Conditioning Units Assembling,"Includes assembling unitary and packaged terminal units usually placed in a window or wall opening with the evaporative unit on the interior and the condensing unit on the exterior, and they allow the cooling by drawing the heat from the room and discharged to the environment.",Industrial,Equipment and engines manufacturing,291,Manufacture of motor vehicles,Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 291917 → ISIC 291 (Group)
513921,Aircondition & Refrigeration Spare Parts Trading,"Includes reselling spare parts of air-conditioning systems, central, window or split units as well as coolers, cold storage compartments, central water cooling and other refrigeration equipment.",Commercial,Not Grouped,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,MH01,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 513921 → ISIC 51 (Division)
6220-01,Aircraft Charter & Equipment Rental,"Includes firms specialized in chartering all kinds of civil aircrafts for passenger transport or cargo, whether owned by the company or being re-chartered. It includes renting related tools, spare parts, components as well as other maintenance equipment either in air or ground like escalators, belts, engines, hydraulic lifts, turbo operating units, batteries.",Commercial,"Transport, shipping and storage",6220,Computer consultancy and computer facilities management activities,Class,Medium,2,Telecom / IT / digital services,Standard CDD + monitoring,MH01,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 6220-01 → ISIC 6220 (Class)
6303-09,Aircraft Classification Services,"Includes organizations that survey aircrafts in order to categorize according to the applicable local and international standard specifications, classification certificates can be issued as regarding adherence to the technical standards of operation.",Commercial,"Transport, shipping and storage",63,"Computing infrastructure, data processing, hosting, and other information service activities",Division,Medium,2,Telecom / IT / digital services,Standard CDD + monitoring,MH01,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 6303-09 → ISIC 63 (Division)
5149-44,Aircraft Scrap & Used Spare Parts Trading,Includes reselling aircraft scrap and used spare parts obtained from dismantling and scraping old aircrafts.,Commercial,Waste trading,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,MH04,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 5149-44 → ISIC 51 (Division)
5159-70,Aircraft Spare Parts & Components Trading,"Includes reselling of spare parts and other components for aircraft reparation, maintenance, renovation and efficiency upgrading, as well as provision of safety and security systems or others.",Commercial,Mechanical & engineering equipment trading,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 5159-70 → ISIC 51 (Division)
RAKEZ /2017/03,Aircraft Trading,Aircraft Trading,Commercial,Mechanical & engineering equipment trading,?,Unresolved — manual ISIC mapping,Unresolved,Medium,2,Mechanical & engineering equipment trading,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,Theme / group heuristic — ISIC parent not resolved
5159-99,Aircrafts & Helicopters Trading,"Includes trading the wide-body commercial aircrafts designed for scheduled and charter airline flights to carrying passengers and cargo, and also the helicopters for transportation of people, search and rescue, tourism, medical transport and aerial observation.",Commercial,Mechanical & engineering equipment trading,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 5159-99 → ISIC 51 (Division)
6210-01,Airlines of Passengers & Cargo Transportation.,Includes airlines involved in passengers and cargo air transport by civil airplanes owned or chartered by such firms and used for internal and international regular flights.,Commercial,"Transport, shipping and storage",621,Computer programming activities,Group,Medium,2,Telecom / IT / digital services,Standard CDD + monitoring,MH01,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 6210-01 → ISIC 621 (Group)
6303-14,Airplane Management & Operation,"Includes firms specialized in managing and operating airplane for other parties. This involves executing operations necessary for handling passengers and cargo transport, changing crew and navigators.",Commercial,"Transport, shipping and storage",63,"Computing infrastructure, data processing, hosting, and other information service activities",Division,Medium,2,Telecom / IT / digital services,Standard CDD + monitoring,MH01,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 6303-14 → ISIC 63 (Division)
6303-04,Airport Ground Services,"Includes servicing an aircraft while it is on the ground and parked at a terminal gate of an airport, involving handling the many service between arrival and departure such as cabin service, catering, ramp service, passenger service, field operation service.",Commercial,"Transport, shipping and storage",63,"Computing infrastructure, data processing, hosting, and other information service activities",Division,Medium,2,Telecom / IT / digital services,Standard CDD + monitoring,MH01,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 6303-04 → ISIC 63 (Division)
369909,Albums Manufacturing,"Includes manufacturing photograph albums, whether made of plastic, cardboard or other materials.",Industrial,Personal requisities manufacturing,36,"Water collection, treatment and supply",Division,Medium,2,Water / waste / remediation,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 369909 → ISIC 36 (Division)
272001,Aluminium Smelter,"Includes extracting pure aluminum from its primary ores, such as bauxite or alumina, smelting and fabricating in blocks, cylinders or ingots in a way enabling reprocessing by means of traction or rolling to produce aluminum products.",Industrial,Casting of steel and iron,2720,Manufacture of batteries and accumulators,Class,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 272001 → ISIC 2720 (Class)
289102,Aluminum Extrusion,"Includes cold and hot extrusion to pure aluminum blocks or cylinders to produce aluminum sections, rods, tubes, pipes, wire cables and others usable in making metallic construction products.",Industrial,Casting of steel and iron,28,Manufacture of machinery and equipment n.e.c.,Division,Medium,2,Manufacturing,Standard CDD + monitoring,MH05,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 289102 → ISIC 28 (Division)
289917,Aluminum Foils Manufacturing,Includes manufacturing the heat conductor and resistant aluminum foils for meat and poultry roasting and for food packaging.,Industrial,Other metal indusries,28,Manufacture of machinery and equipment n.e.c.,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 289917 → ISIC 28 (Division)
289104,Aluminum powder Production,Includes extracting aluminium powder from its basic ores by grinding to use in industrial production or metal coating.,Industrial,Casting of steel and iron,28,Manufacture of machinery and equipment n.e.c.,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 289104 → ISIC 28 (Division)
289103,Aluminum Rolling,"Includes cold and hot rolling operationsto pure aluminum blocks or cylinders to produce aluminum panels and plates, breaking aluminum panels in zigzag order to use them for various industrial purposes or in constructions.",Industrial,Casting of steel and iron,28,Manufacture of machinery and equipment n.e.c.,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 289103 → ISIC 28 (Division)
924144,American Football Training,"Includes sports institutions dedicated to American football training through applying the latest theoretical and practical techniques to optimizing sporting, these firms should set up the installations that enable conducting the training. Educational Training Instititute /",Educational,consultancy,92,Gambling and betting activities,Division,High,3,Gambling / betting / casino,Enhanced Due Diligence (EDD),,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 924144 → ISIC 92 (Division)
369403,Amusement Centers Equipment Manufacturing,"Includes manufacturing amusement centers’ equipment such as billiard tables, electronics and manual games devices etc.",Industrial,Appliances and machinery manufacturing,36,"Water collection, treatment and supply",Division,Medium,2,Water / waste / remediation,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 369403 → ISIC 36 (Division)
1533-02,Animal & Birds Feed Manufacturing,"Includes producing domestic animals and birds canned or dried feed, such as grains, seeds, meats, fruits. It also includes health feed like vitamins and tonics, other than veterinary medicines.",Industrial,Fodder and fertilizers manufacturing,15,Manufacture of leather and related products,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 1533-02 → ISIC 15 (Division)
515921,Animal & Poultry Farms Equipment Trading,"Includes reselling cow, cattle and sheep, or chicken, ducks, pigeons breeding farms machinery and equipment, as well as other birds and animals bred for trading and processing their products.",Commercial,Mechanical & engineering equipment trading,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 515921 → ISIC 51 (Division)
852005,Animal Etiquette & Behavior Consultant,"Includes veterinary clinics involved in animal behavior consultancy for pet and farm animals, to solve behavior problems, such as, aggression, anxiety, fears and phobias. Treating these problems will help animal owners to have better relations with them and improve the productivity in the case of farm animals, as well as reducing the risks of injury, it also involves animal etiquette which offers an approach to the positive reinforcement methods of training in all the activities that is provided for the animal.",Service,Veterinary clinic,8520,Primary education,Class,Low,1,Education,Standard CDD,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 852005 → ISIC 8520 (Class)
512118,Animal Feed Trading,"Includes reselling animals and birds food which can be canned or dried such as grains, seeds, meats, fruits. It also includes health food like vitamins and tonics other than veterinary medicines.",Commercial,Fodders & animal food trading 9312024 Callisthenic Club Callisthenic Club Service Sport Club,512,Freight air transport,Group,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 512118 → ISIC 512 (Group)
512120,Animal Fodder Supplements Trading,"Includes reselling supplements added to at processing fodder, whether of vegetal or animal origin, such as vitamins, amino acids and sulfates.",Commercial,Fodders & animal food trading,512,Freight air transport,Group,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 512120 → ISIC 512 (Group)
1514-02,Animal Oil & Fat Manufacturing,Includes extracting oil and fat out of animal dairy as well as out of animals and fish and their fats and bones (artificial ghee).,Industrial,Meat processing,151,"Tanning, dyeing, dressing of leather and fur; manufacture of luggage, handbags, saddlery and harness",Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 1514-02 → ISIC 151 (Group)
289915,Antennas Manufacturing,"Includes manufacturingthe electric devices which convert electric power into radio waves to use in radio and television broadcasting, telecommunication receivers, wireless computer network, radar.",Industrial,Appliances and machinery manufacturing,28,Manufacture of machinery and equipment n.e.c.,Division,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 289915 → ISIC 28 (Division)
513922,Antennas Trading,"Includes resellingthe electric devices which convert electric power into radio waves to use in radio and television broadcasting, telecommunication receivers, wireless computer network, radar.",Commercial,Electronics group,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 513922 → ISIC 51 (Division)
515973,Aquarium & Display Cases Trading,"Includes reselling aquariums to display fish and marine animals in public places, in restaurants serve sea food, in shops sell living fishs and marine animals, also, equipment for preserving chilled for selling.",Commercial,Mechanical & engineering equipment trading,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 515973 → ISIC 51 (Division)
809019,Arabic Calligraphy Teaching Institute,"Includes providing training on the art of beautiful, stylized, or elegant Arabic handwriting or lettering with pen or brush and ink. It involves the correct formation of characters, the ordering of the various parts, and the harmony of proportions. Educational Training Instititute /",Educational,consultancy,80,Investigation and security activities,Division,Medium,2,Security / investigation / private protection,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 809019 → ISIC 80 (Division)
181008,Arabic Gown Manufacturing,Includes manufacturing the wear over men gowns from knitted and crocheted fabrics.,Industrial,Manufacturing of garments and rugs,181,Printing and service activities related to printing,Group,Medium,2,Manufacturing,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 181008 → ISIC 181 (Group)
809051,Arabic Language Institute,"Includes providing Arabic language tutoring as a second language for non-Arabic speakers, it involves the principles, grammar, reading, writing and speaking techniques. Educational Training Instititute /",Educational,consultancy,80,Investigation and security activities,Division,Medium,2,Security / investigation / private protection,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 809051 → ISIC 80 (Division)
513108,Arabwear Trading,"Includes reselling of Arab ready made wear, such as dishdashas, ghotra, bishts, oqal and caps, also, women traditional cloak (aba) head covers, veils.",Commercial,Ready made garments qroup 9312026 Club for marksmanship training Club for marksmanship training Service Sport Club 9312027 Club training squash Club training squash Service Sport Club,51,Air transport,Division,Medium,2,Transportation / storage,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 513108 → ISIC 51 (Division)
742112,Archeological Restoration & Conservation Engineering Consultancy,"Includes providing services and consultancies related to conservation and preservation of archeological materials by using the method of examination, documentation, treatment, protection to keep that property in as close to its original condition as possible.",Service,Other engineering services,742,Photographic activities,Group,High,3,Professional / technical services,Enhanced Due Diligence (EDD),H03,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 742112 → ISIC 742 (Group)
742170,Architectural Design Consultancy,"Includes firms engaged in providing consultancies and services related to architectural engineering, including preparing preliminary and final engineering and technical studies for construction projects as well as interior design and landscaping.",Service,Other engineering services,742,Photographic activities,Group,Medium,2,Professional / technical services,Standard CDD + monitoring,MH05,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 742170 → ISIC 742 (Group)
742141,Architectural Prospective Drawings Consultancy,"Includes firms specialized in offering architectural prospective drawings services for all buildings and civil projects, showing relations with other standing, neighboring projects, buildings or elevations and natural scenery. These services also include drawing up horizontal and vertical sections of these buildings and projects.",Service,Other engineering services,742,Photographic activities,Group,Medium,2,Professional / technical services,Standard CDD + monitoring,,false,freezone,RAKEZ FZ list + ISIC Rev.5 AML mapping + rule library,RAKEZ code 742141 → ISIC 742 (Group)
